Codigo,Referencia,Descripcion,Coste,IVA,Motivo
5660.0,PAPEL,"METALIZADO PLATA ROLLO CONTINUO DE 0,5 X 10 MT",3.69,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
6296.0,PX06,BOLSO ESCOLAR LIDERPAPEL PORTATODO RECTA NGULAR 3 BOLSILLOS CELESTE 210X8,2.95,21,No encontrado en provider
6296.0,PX06,BOLSO ESCOLAR LIDERPAPEL PORTATODO RECTA NGULAR 3 BOLSILLOS CELESTE 210X8,2.95,21,No encontrado en provider
4611.0,4080,LIBRO MIQUELRIUS CUARTO APAISADO 100 HOJ AS CUENTAS CORRIENTES DEBE HABER Y SALDO,12.45,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
39206.0,FX-82,MS-2 CALCULADORA CASIO FX-82MSII CIENTIFICA 2 40 FUNCIONES PANTALLA DE DOS LINEAS,7.15,21,No encontrado en provider
39206.0,FX-82,MS-2 CALCULADORA CASIO FX-82MSII CIENTIFICA 2 40 FUNCIONES PANTALLA DE DOS LINEAS,7.15,21,No encontrado en provider
8277.0,BC01,CUADERNO ESPIRAL LIDERPAPEL CUARTO SMART TAPA BLANDA 80H 60GR CUADRO 4MM CON MAR GEN CO,0.59,21,No encontrado en provider
8194.0,BF01,CUADERNO ESPIRAL LIDERPAPEL FOLIO SMART TAPA BLANDA 80H 60GR CUADRO 4 MM CON MAR GEN CO,0.74,21,No encontrado en provider
9865.0,BF39,CUADERNO ESPIRAL LIDERPAPEL FOLIO WITTY TAPA DURA 80H 75GR CUADRO 4MM CON MARGEN CO,1.21,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
6302.0,PX09,BOLSO ESCOLAR LIDERPAPEL PORTATODO CILIN DRICO CON 2 CREMALLERAS DE NYLON VERDE 2 05X7,1.95,21,No encontrado en provider
6302.0,PX09,BOLSO ESCOLAR LIDERPAPEL PORTATODO CILIN DRICO CON 2 CREMALLERAS DE NYLON VERDE 2 05X7,1.95,21,No encontrado en provider
6294.0,PX04,BOLSO ESCOLAR LIDERPAPEL PORTATODO RECTA NGULAR 2 BOLSILLOS CORAL 185X5,1.95,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
169844.0,LP523,AGENDA ESCOLAR LIDERPAPEL A¥O 24 - 25 ES COLAR FANTASIA TERRAZO DÖA PGINA A5,5.11,21,No encontrado en provider
169844.0,LP523,AGENDA ESCOLAR LIDERPAPEL A¥O 24 - 25 ES COLAR FANTASIA TERRAZO DÖA PGINA A5,5.11,21,No encontrado en provider
8194.0,BF01,CUADERNO ESPIRAL LIDERPAPEL FOLIO SMART TAPA BLANDA 80H 60GR CUADRO 4 MM CON MAR GEN CO,0.74,21,No encontrado en provider
97998.0,65021,JUEGO ESCUADRA Y CARTABON PETACA FABER C ASTELL METACRILATO COLOR VERDE,3.7,21,No encontrado en provider
5660.0,PAPEL,"METALIZADO PLATA ROLLO CONTINUO DE 0,5 X 10 MT",3.58,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
39206.0,FX-82,MS-2 CALCULADORA CASIO FX-82MSII CIENTIFICA 2 40 FUNCIONES PANTALLA DE DOS LINEAS,7.15,21,No encontrado en provider
39206.0,FX-82,MS-2 CALCULADORA CASIO FX-82MSII CIENTIFICA 2 40 FUNCIONES PANTALLA DE DOS LINEAS,7.15,21,No encontrado en provider
8277.0,BC01,CUADERNO ESPIRAL LIDERPAPEL CUARTO SMART TAPA BLANDA 80H 60GR CUADRO 4MM CON MAR GEN CO,0.59,21,No encontrado en provider
8194.0,BF01,CUADERNO ESPIRAL LIDERPAPEL FOLIO SMART TAPA BLANDA 80H 60GR CUADRO 4 MM CON MAR GEN CO,0.74,21,No encontrado en provider
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
nan,nan,nan,nan,,Fila sin IVA en Excel
nan,nan,TOTAL PRODUCTOS:,nan,,Fila sin IVA en Excel
nan,nan,TOTAL UNIDADES:,nan,,Fila sin IVA en Excel
nan,nan,VALOR TOTAL:,nan,,Fila sin IVA en Excel
